rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Inpatient Revenue,Outpatient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
739915,40022,NORTHWEST MEDICAL CENTER,609 WEST MAPLE,SPRINGDALE,AR,72764,WASHINGTON,22220,U,STH,1,4,2021-11-01,2022-10-31,1140.58,321,117165,494234,3468697,1075162,1075162,91015398,199974029,9158329,262111381,1312540308,1159044646,2471584954,15112513,91015398,16629440,1312672471,1159044646,2178609856,293107261,290989427,2117834,8742863,10860697,,10860697,0.10605
739920,41332,UNITY HEALTH - NEWPORT,1205 MCLAIN STREET,NEWPORT,AR,72112,JACKSON,99904,R,CAH,1,2,2022-07-14,2022-09-30,41.39,24,1896,,,,,2807519,2837341,339372,5347096,5630053,11708330,17338383,,,,5735696,11602687,11534763,5803620,5644860,158760,247575,406335,,406335,0.308396
739921,43034,SOUTHEAST REHAB LLC,2918 LOUIS SESSIONS ST,LAKE VILLAGE,AR,71653,,99904,R,RH,5,5,2021-11-01,2022-10-31,43,10,3650,,,,,2673893,1800013,71708,4347557,8558938,,8558938,,2673893,,8558938,,4714565,3844373,4473906,-629533,240095,-389438,,-389438,
739990,60096,VAIL VALLEY MEDICAL CENTER,181 WEST MEADOW DRIVE,VAIL,CO,81657,EAGLE,99906,R,STH,1,11,2021-11-01,2022-10-31,829.51,54,19710,634331,12180936,6811539,12669679,57504090,216975735,26162731,200097009,87710806,306863844,394574650,8845571,57504090,6472013,89825657,344871238,220346336,214350559,274479825,-60129266,28097530,-32031736,55917858,-87949594,0.507121
739998,70038,THE CONNECTICUT HOSPICE  INC.,100 DOUBLE BEACH ROAD,BRANFORD,CT,6405,NEW HAVEN,35300,U,STH,1,2,2021-10-01,2022-09-30,62.09,16,5840,,,,,9945085,9430636,828462,19296223,13091055,,13091055,790152,9945085,12000,7691872,10660334,,18352206,19375721,-1023515,4265281,3241766,,3241766,
740020,100156,HCA FLORIDA LAKE CITY HOSPITAL,340 NW COMMERCE DRIVE,LAKE CITY,FL,-32055,COLUMBIA,99910,R,STH,1,4,2021-11-01,2022-10-31,446.67,113,41245,8820594,15094142,10091386,15924209,32169904,78538147,7900708,105697084,608140304,1093556318,1701696622,7316777,32093939,6031,597375832,1094102290,1522662123,168815999,110680513,58135486,348789,58484275,-56,58484331,0.062113
740036,103026,ST CATHERINES REHAB HOSPITAL,1050 NE 125TH STREET,NORTH MIAMI,FL,33161,MIAMI-DADE,33124,U,RH,5,1,2021-10-01,2022-09-30,103.46,60,21900,,,,,16646177,26473154,1465031,41012351,56350738,448992,56799730,,,,56363354,436376,18436092,38363638,43119331,-4755693,6460724,1705031,,1705031,
740041,104078,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST. STREET  WEST,BRADENTON,FL,34210,MANATEE,35840,U,PH,4,4,2021-11-01,2022-10-31,77.56,40,14600,,,,,5346810,5792693,1113781,8687610,21388200,310545,21698745,,,,22281773,310545,13866293,8726025,10815727,-2089702,16237,-2073465,,-2073465,
740058,131311,ST. LUKES ELMORE MEDICAL CENTER,895 N. SIXTH EAST,MOUNTAIN HOME,ID,-83647,ELMORE,99913,R,CAH,1,2,2021-10-01,2022-09-30,175.3,20,7300,628173,1829707,1480897,4114318,17636119,31662303,2063825,42970256,21751474,68592410,90343884,,,,22829793,75150995,50033868,47946920,49298422,-1351502,1257929,-93573,,-93573,0.47563
740107,172005,SSH - KANSAS CITY,1731 NORTH 90TH STREET,KANSAS CITY,KS,66112,WYANDOTTE,28140,U,LTCH,2,4,2021-11-01,2022-10-31,109.63,40,14600,,,,,10590733,15318864,409421,26603187,147616423,,147616423,1548750,10590733,4082007,147616424,,125187574,22428850,25909597,-3480747,213762,-3266985,923508,-4190493,
